name,cores,cpu_mark,thread_mark,TDP,Socket,Category
Intel Core i7-1265UE,10,9471,2582,28,FCBGA1744,Laptop Mobile/Embedded
Intel Core i7-12700H,14,26119,3581,45,FCBGA1744,Laptop
Intel Core i7-12700TE,12,17189,2875,35,FCLGA1700,Laptop Mobile/Embedded
Intel Core i7-1270P,12,17476,3405,28,BGA1700,Laptop
Intel Core i7-12800H,14,24805,3484,45,FCBGA1744,Laptop
Intel Core i7-12800HX,16,32116,3734,55,FCBGA1964,Laptop
Intel Core i7-1280P,14,20456,3327,28,FCBGA1744,Laptop
Intel Core i7-12850HX,16,30797,3711,55,FCBGA1964,Laptop
Intel Core i7-1355U,10,14820,3502,15,FCBGA1744,Laptop
Intel Core i7-1360P,12,19062,3526,28,FCBGA1744,Laptop
Intel Core i7-13620H,10,24840,3687,45,FCBGA1744,Laptop
Intel Core i7-13650HX,14,31448,3816,55,FCBGA1964,Laptop
Intel Core i7-1365U,10,14789,3525,15,FCBGA1744,Laptop
Intel Core i7-13700H,14,27080,3640,45,FCBGA1744,Laptop
Intel Core i7-13700HX,16,33560,3862,55,FCBGA1964,Laptop
Intel Core i7-13700TE,16,23113,3519,35,FCLGA1700,Laptop
Intel Core i7-13705H,14,23670,3415,45,FCBGA1792,Laptop
Intel Core i7-1370P,14,20145,3536,28,FCBGA1744,Laptop
Intel Core i7-13800H,14,27059,3571,45,FCBGA1744,Laptop
Intel Core i7-13850HX,20,38031,3845,55,FCBGA1964,Laptop
Intel Core i7-14650HX,16,36504,3981,157,FCBGA1964,Laptop
Intel Core i7-14700HX,20,37389,3998,55,FCBGA1964,Laptop
Intel Core i7-2610UE,2,1409,972,17,BGA1023,Laptop
Intel Core i7-2617M,2,1687,1092,17,BGA1023,Laptop
Intel Core i7-2620M,2,2423,1459,35,BGA1023,Laptop
Intel Core i7-2630QM,4,3559,1226,45,PGA988B,Laptop
Intel Core i7-2630UM,2,400,221,NA,Unknown,Laptop
Intel Core i7-2635QM,4,3459,1218,45,BGA1224,Laptop
Intel Core i7-2637M,2,1854,1144,17,BGA1023,Laptop
Intel Core i7-2640M,2,2467,1498,35,BGA1023,Laptop
Intel Core i7-2670QM,4,3742,1309,45,PGA988B,Laptop
Intel Core i7-2675QM,4,3856,1299,45,BGA1224,Laptop
Intel Core i7-2677M,2,1912,1260,17,BGA1023,Laptop
Intel Core i7-2710QE,4,4044,1393,45,PGA988B,Laptop
Intel Core i7-2715QE,4,3221,1287,45,BGA1023,Laptop
Intel Core i7-2720QM,4,4004,1372,45,BGA1224,Laptop
Intel Core i7-2760QM,4,4392,1538,45,BGA1224,Laptop
Intel Core i7-2820QM,4,4379,1487,45,BGA1224,Laptop
Intel Core i7-2840QM,4,3842,1493,NA,rPGA988B,Laptop
Intel Core i7-2860QM,4,4523,1554,45,BGA1224,Laptop
Intel Core i7-2920XM,4,4286,1438,55,FCPGA988,Laptop
Intel Core i7-2960XM,4,4754,1598,55,PGA988B,Laptop
Intel Core i7-3517U,2,2087,1335,17,BGA1023,Laptop
Intel Core i7-3517UE,2,2384,1433,17,BGA1023,Laptop
Intel Core i7-3520M,2,2866,1740,35,BGA1023,Laptop
Intel Core i7-3537U,2,2352,1450,17,BGA1023,Laptop
Intel Core i7-3540M,2,2980,1793,35,rPGA988B,Laptop
Intel Core i7-3555LE,2,2238,1336,25,BGA1023,Laptop
Intel Core i7-3610QE,4,5026,1582,45,rPGA988B,Laptop
Intel Core i7-3610QM,4,5119,1666,45,PGA988B,Laptop
Intel Core i7-3612QE,4,4929,1678,35,BGA1224,Laptop
Intel Core i7-3612QM,4,4654,1539,35,PGA988B FCBGA12,Laptop
Intel Core i7-3615QE,4,5601,1802,45,BGA1224,Laptop
Intel Core i7-3615QM,4,5198,1707,45,BGA1224,Laptop
Intel Core i7-3630QM,4,5114,1684,45,rPGA988B,Laptop
Intel Core i7-3632QM,4,4709,1586,35,rPGA988B,Laptop
Intel Core i7-3635QM,4,4790,1703,45,Unknown,Laptop
Intel Core i7-3667U,2,2416,1501,17,BGA1023,Laptop
Intel Core i7-3687U,2,2645,1598,17,BGA1023,Laptop
Intel Core i7-3689Y,2,1967,1209,13,FCBGA1023,Laptop
Intel Core i7-3720QM,4,5671,1866,45,BGA1224,Laptop
Intel Core i7-3740QM,4,5692,1876,45,rPGA988B,Laptop
Intel Core i7-3820QM,4,5637,1868,45,BGA1224,Laptop
Intel Core i7-3840QM,4,5911,1931,45,rPGA988B,Laptop
Intel Core i7-3920XM,4,5710,1916,55,FCPGA988,Laptop
Intel Core i7-3940XM,4,5840,1911,55,rPGA988B,Laptop
Intel Core i7-4500U,2,2487,1492,15,BGA1168,Laptop
Intel Core i7-4510U,2,2595,1541,15,FCBGA1168,Laptop
Intel Core i7-4550U,2,2272,1290,15,BGA1168,Laptop
Intel Core i7-4558U,2,2939,1797,28,BGA1168,Laptop
Intel Core i7-4560U,2,2950,1782,NA,Unknown,Laptop
Intel Core i7-4578U,2,3106,1931,28,FCBGA1168,Laptop
Intel Core i7-4600M,2,3191,1866,37,PGA946,Laptop
Intel Core i7-4600U,2,2720,1656,15,FCBGA1168,Laptop
Intel Core i7-4610M,2,3220,1875,37,FPGA946FPGA947,Laptop
Intel Core i7-4650U,2,2461,1571,15,BGA1168,Laptop
Intel Core i7-4700HQ,4,5632,1792,47,FCBGA1364,Laptop
Intel Core i7-4700MQ,4,5356,1762,47,rPGA946B,Laptop
Intel Core i7-4702HQ,4,5351,1638,37,FCBGA1364,Laptop
Intel Core i7-4702MQ,4,5193,1707,37,FCPGA946,Laptop
Intel Core i7-4710HQ,4,5527,1778,47,FCBGA1364,Laptop
Intel Core i7-4710MQ,4,5831,1889,47,FCPGA946,Laptop
Intel Core i7-4712HQ,4,5358,1728,37,FCBGA1364,Laptop
Intel Core i7-4712MQ,4,5325,1809,37,FCPGA946,Laptop
Intel Core i7-4720HQ,4,5746,1860,47,BGA1364,Laptop
Intel Core i7-4722HQ,4,5620,1844,37,FCBGA1364,Laptop
Intel Core i7-4750HQ,4,5692,1750,47,FCBGA1364,Laptop
Intel Core i7-4760HQ,4,6300,1944,47,FCBGA1364,Laptop
Intel Core i7-4770HQ,4,6062,1911,47,FCBGA1364,Laptop
Intel Core i7-4800MQ,4,5736,1915,47,rPGA946B,Laptop
Intel Core i7-4810MQ,4,6071,2029,47,FCPGA946,Laptop
Intel Core i7-4850HQ,4,6136,1940,47,FCBGA1364,Laptop
Intel Core i7-4860EQ,4,5500,1754,47,FCBGA1364,Laptop
Intel Core i7-4860HQ,4,6242,1893,47,FCBGA1364,Laptop
Intel Core i7-4870HQ,4,6304,2049,47,FCBGA1364,Laptop
Intel Core i7-4900MQ,4,6119,1995,47,FCPGA946,Laptop
Intel Core i7-4910MQ,4,6256,2033,47,FCPGA946,Laptop
Intel Core i7-4930MX,4,6348,2060,57,FCPGA946,Laptop
Intel Core i7-4940MX,4,6830,2183,57,FPGA946FPGA947,Laptop
Intel Core i7-4960HQ,4,6339,2086,47,FCBGA1364,Laptop
Intel Core i7-4980HQ,4,6522,2172,47,FCBGA1364,Laptop
Intel Core i7-5500U,2,2786,1656,15,FCBGA1168,Laptop
Intel Core i7-5550U,2,2864,1703,15,FCBGA1168,Laptop
Intel Core i7-5557U,2,3102,1920,28,FCBGA1168,Laptop
Intel Core i7-5600U,2,3036,1775,15,FCBGA1168,Laptop
Intel Core i7-5650U,2,3010,1897,15,FCBGA1168,Laptop
Intel Core i7-5700EQ,4,5803,2092,47,FCBGA1364,Laptop
Intel Core i7-5700HQ,4,6044,2018,47,FCBGA1364,Laptop
Intel Core i7-5850EQ,4,7036,2119,47,FCBGA1364,Laptop
Intel Core i7-5850HQ,4,6866,2219,47,FCBGA1364,Laptop
Intel Core i7-5950HQ,4,7807,2310,47,FCBGA1364,Laptop
Intel Core i7-610E,2,2071,1420,35,BGA1288,Laptop
Intel Core i7-620LM,2,1406,1010,25,rPGA988A,Laptop
Intel Core i7-620M,2,1977,1287,35,BGA1288,Laptop
Intel Core i7-620UM,2,1091,859,18,BGA1288,Laptop
Intel Core i7-640LM,2,1531,1058,25,BGA1288,Laptop
Intel Core i7-640M,2,2070,1374,35,BGA1288,Laptop
Intel Core i7-640UM,2,1183,879,18,BGA1288,Laptop
Intel Core i7-6498DU,2,3454,1808,15,BGA1356,Laptop
Intel Core i7-6500U,2,3276,1694,15,FCBGA1356,Laptop
Intel Core i7-6560U,2,3330,1680,15,Unknown,Laptop
Intel Core i7-6567U,2,3662,2077,28,FCBGA1356,Laptop
Intel Core i7-6600U,2,3428,1792,15,FCBGA1356,Laptop
Intel Core i7-660UM,2,1284,925,18,BGA1288,Laptop
Intel Core i7-6650U,2,3542,1782,15,FCBGA1356,Laptop
Intel Core i7-6660U,2,3606,1943,15,FCBGA1356,Laptop
Intel Core i7-6700HQ,4,6519,1909,45,FCBGA1440,Laptop
Intel Core i7-6770HQ,4,7092,1944,45,FCBGA1440,Laptop
Intel Core i7-680UM,2,1196,911,18,BGA1288,Laptop
Intel Core i7-6820EQ,4,7001,1997,45,FCBGA1440,Laptop
Intel Core i7-6820HK,4,7063,1992,45,FCBGA1440,Laptop
Intel Core i7-6820HQ,4,6816,1953,45,FCBGA1440,Laptop
Intel Core i7-6822EQ,4,5241,1572,25,LGA 1151,Laptop
Intel Core i7-6920HQ,4,7340,2099,45,FCBGA1440,Laptop
Intel Core i7-6970HQ,4,4632,1532,45,FCBGA1440,Laptop
Intel Core i7-720QM,4,1657,925,45,PGA988A,Laptop
Intel Core i7-740QM,4,1833,1020,45,PGA988A,Laptop
Intel Core i7-7500U,2,3645,1920,15,FCBGA1356,Laptop
Intel Core i7-7560U,2,3792,1975,15,BGA1356,Laptop
Intel Core i7-7567U,2,4082,2193,28,BGA1356,Laptop
Intel Core i7-7600U,2,3698,2014,15,FCBGA1356,Laptop
Intel Core i7-7660U,2,4080,2154,15,BGA1356,Laptop
Intel Core i7-7700HQ,4,6909,2058,45,FCBGA1440,Laptop
Intel Core i7-7820EQ,4,7542,2173,45,FCBGA1440,Laptop
Intel Core i7-7820HK,4,7368,2114,45,FCBGA1440,Laptop
Intel Core i7-7820HQ,4,7162,2117,45,FCBGA1440,Laptop
Intel Core i7-7920HQ,4,7368,2227,45,FCBGA1440,Laptop
Intel Core i7-7Y75,2,2621,1570,4.5,FCBGA1515,Desktop Laptop
Intel Core i7-820QM,4,1775,1014,45,PGA988A,Laptop
Intel Core i7-840QM,4,1952,1138,45,PGA988A,Laptop
Intel Core i7-8500Y,2,2474,1448,5,FCBGA1515,Laptop
Intel Core i7-8550U,4,5896,2044,15,FC-BGA1356,Laptop
Intel Core i7-8557U,4,7342,2326,15,FCBGA1528,Laptop
Intel Core i7-8559U,4,8332,2511,28,FCBGA1528,Laptop
Intel Core i7-8565U,4,6060,2145,15,FCBGA1356,Laptop
Intel Core i7-8565UC,4,6187,2527,15,FCBGA1528,Laptop
Intel Core i7-8569U,4,8222,2596,28,FCBGA1528,Laptop
Intel Core i7-8650U,4,6256,2127,15,FC-BGA1356,Laptop
Intel Core i7-8665U,4,6252,2186,15,FCBGA1528,Laptop
Intel Core i7-8665UE,4,5170,1621,15,FCBGA1528,Laptop
Intel Core i7-8700B,6,11865,2732,65,FCBGA1440,Laptop
Intel Core i7-8705G,4,7695,2209,65,BGA2270,Laptop
Intel Core i7-8706G,4,7339,2321,65,BGA2270,Laptop
Intel Core i7-8709G,4,7947,2313,100,BGA2270,Laptop
Intel Core i7-8750H,6,9881,2303,45,FCBGA1440,Laptop
Intel Core i7-8809G,4,8531,2382,100,BGA2270,Laptop
Intel Core i7-8850H,6,10198,2383,45,FCBGA1440,Laptop
Intel Core i7-920XM,4,1950,1022,55,PGA988B,Laptop
Intel Core i7-940XM,4,2209,1139,55,PGA988,Laptop
Intel Core i7-9700TE,8,10203,2214,35,FCLGA1151-2,Desktop Laptop
Intel Core i7-9750H,6,10801,2421,45,FCBGA1440,Laptop
Intel Core i7-9750HF,6,10625,2429,45,FCBGA1440,Laptop
Intel Core i7-9850H,6,11054,2486,45,Unknown,Laptop
Intel Core i7-9850HL,6,7897,1723,25,FCBGA1440,Desktop Laptop
Intel Core i9-10880H,8,14642,2765,45,FCBGA1440,Laptop
Intel Core i9-10885H,8,14781,2714,45,FCBGA1440,Laptop
Intel Core i9-10980HK,8,15403,2774,45,FCBGA1440,Laptop
Intel Core i9-11900H,8,20539,3132,45,FCBGA1787,Laptop
Intel Core i9-11950H,8,21157,3174,45,FCBGA1787,Laptop
Intel Core i9-11980HK,8,22743,3277,45,FCBGA1787,Laptop
Intel Core i9-12900H,14,27901,3773,45,FCBGA1744,Laptop
Intel Core i9-12900HK,14,27356,3646,45,FCBGA1744,Laptop
Intel Core i9-12900HX,16,33940,3826,55,FCBGA1964,Laptop
Intel Core i9-12950HX,16,32323,3824,55,FCBGA1964,Laptop
Intel Core i9-13900H,14,28682,3842,45,FCBGA1744,Laptop
Intel Core i9-13900HK,14,31536,3967,45,FCBGA1744,Laptop
Intel Core i9-13900HX,24,44084,4124,55,FCBGA1964,Laptop
Intel Core i9-13905H,14,30207,3697,45,FCBGA1792,Laptop
Intel Core i9-13950HX,24,43492,4018,55,FCBGA1964,Laptop
Intel Core i9-13980HX,24,47229,4292,55,FCBGA1964,Laptop
Intel Core i9-14900HX,24,45654,4305,55,FCBGA1964,Laptop
Intel Core i9-8950HK,6,10461,2431,45,FCBGA1440,Laptop
Intel Core i9-9880H,8,13669,2486,45,FCBGA1440,Laptop
Intel Core i9-9980HK,8,14098,2526,45,FCBGA1440,Laptop
Intel Core M-5Y10,2,1644,976,4.5,Unknown,Laptop
Intel Core M-5Y10a,2,1905,993,4.5,FCBGA1234,Laptop
Intel Core M-5Y10c,2,1892,1111,4.5,FCBGA1234,Laptop
Intel Core M-5Y31,2,1896,1239,4.5,FCBGA1234,Laptop
Intel Core M-5Y51,2,2002,1302,4.5,FCBGA1234,Laptop
Intel Core M-5Y70,2,1823,1081,4.5,BGA1234,Laptop
Intel Core M-5Y71,2,2037,1285,4.5,FCBGA1234,Laptop
Intel Core m3-6Y30,2,2170,1173,4.5,FCBGA1515,Laptop
Intel Core m3-7Y30,2,2585,1405,4.5,FCBGA1515,Laptop
Intel Core m3-7Y32,2,2733,1628,4.5,FCBGA1515,Laptop Mobile/Embedded
Intel Core m3-8100Y,2,2858,1701,5,FCBGA1515,Laptop Mobile/Embedded
Intel Core m5-6Y54,2,2278,1300,7,FCBGA1515,Laptop Mobile/Embedded
Intel Core m5-6Y57,2,2346,1334,7,FCBGA1515,Laptop Mobile/Embedded
Intel Core m5-7Y54,2,1475,746,NA,Unknown,Laptop Mobile/Embedded
Intel Core m7-6Y75,2,2329,1354,7,FCBGA1515,Laptop Mobile/Embedded
Intel Core Solo T1300,1,210,518,27,PGA478,Laptop
Intel Core Solo T1350,1,194,413,31,Unknown,Laptop
Intel Core Solo T1400,1,253,525,27,PGA478,Laptop
Intel Core Solo U1300,1,127,340,6,PBGA479,Laptop
Intel Core Solo U1400,1,130,365,5.5,PBGA479,Laptop
Intel Core Solo U1500,1,164,375,5.5,Unknown,Laptop
Intel Core Ultra 5 125H,14,22185,3498,28,FCBGA2049,Laptop
Intel Core Ultra 5 125U,12,17471,3323,15,FCBGA2049,Laptop
Intel Core Ultra 5 134U,12,12549,3101,30,FCBGA2551,Laptop
Intel Core Ultra 5 135H,14,22894,3570,28,FCBGA2049,Laptop
Intel Core Ultra 5 135U,12,17678,3380,28,FCBGA2049,Laptop
Intel Core Ultra 5 226V,8,19050,3965,17,FCBGA2833,Laptop Mobile/Embedded
Intel Core Ultra 5 228V,8,19930,4091,170,FCBGA2833,Laptop Mobile/Embedded
Intel Core Ultra 7 155H,16,25158,3520,28,FCBGA2049,Laptop
Intel Core Ultra 7 155U,12,16763,3451,15,FCBGA2049,Laptop
Intel Core Ultra 7 164U,12,15106,3151,9,FCBGA2551,Laptop
Intel Core Ultra 7 165H,16,26292,3530,28,FCBGA2049,Laptop
Intel Core Ultra 7 165U,12,17591,3400,15,FCBGA2049,Laptop
Intel Core Ultra 7 256V,8,19464,3633,17,FCBGA2833,Laptop
Intel Core Ultra 7 258V,8,19652,3989,17,FCBGA2833,Laptop
Intel Core Ultra 9 185H,16,29272,3704,45,FCBGA2049,Laptop
Intel Core Ultra 9 288V,8,19542,4600,30,FCBGA2833,Laptop
Intel Core2 Duo E8135,2,1112,1127,NA,Socket P,Laptop
Intel Core2 Duo E8235,2,1020,1112,NA,Socket P,Laptop
Intel Core2 Duo E8335,2,1121,1137,NA,Socket P,Laptop
Intel Core2 Duo E8335,2,1032,1142,NA,Socket P,Laptop
Intel Core2 Duo E8435,2,1104,1223,NA,Socket P,Laptop
Intel Core2 Duo L7100,2,467,484,NA,BGA956 ,Laptop
Intel Core2 Duo L7300,2,536,551,17,BGA479,Laptop
Intel Core2 Duo L7400,2,516,555,17,BGA479,Laptop
Intel Core2 Duo L7500,2,657,664,17,BGA479,Laptop
Intel Core2 Duo L7700,2,607,748,17,Unknown,Laptop
Intel Core2 Duo L9300,2,690,703,17,BGA956,Laptop
Intel Core2 Duo L9600,2,788,849,17,BGA956,Laptop
Intel Core2 Duo P7350,2,748,796,25,BGA479,Laptop
Intel Core2 Duo P7370,2,790,793,25,PGA478,Laptop
Intel Core2 Duo P7450,2,783,837,25,PGA478,Laptop
Intel Core2 Duo P7550,2,849,974,25,PGA478,Laptop
Intel Core2 Duo P7570,2,845,930,25,PGA478,Laptop
Intel Core2 Duo P8400,2,849,920,25,BGA479,Laptop
Intel Core2 Duo P8600,2,849,945,25,BGA479,Laptop
Intel Core2 Duo P8700,2,960,1022,25,BGA479,Laptop
Intel Core2 Duo P8800,2,937,1075,25,BGA479,Laptop
Intel Core2 Duo P9300,2,952,950,NA,Unknown,Laptop
Intel Core2 Duo P9500,2,993,1057,25,BGA479,Laptop
Intel Core2 Duo P9600,2,1040,1082,25,PGA478,Laptop
Intel Core2 Duo P9600,2,1093,1120,25,PGA478,Laptop
Intel Core2 Duo P9700,2,1149,1157,28,PGA478,Laptop
Intel Core2 Duo SL9400,2,759,786,17,BGA956,Laptop
Intel Core2 Duo SP9400,2,863,929,25,BGA956,Laptop
Intel Core2 Duo SU9400,2,511,582,10,BGA956,Laptop
Intel Core2 Duo T5200,2,470,592,34,Socket M,Laptop
Intel Core2 Duo T5250,2,549,567,35,PGA478,Laptop
Intel Core2 Duo T5270,2,427,535,35,PGA478,Laptop
Intel Core2 Duo T5300,2,530,533,34,PGA478,Laptop
Intel Core2 Duo T5450,2,583,592,35,PGA478,Laptop
Intel Core2 Duo T5470,2,590,636,35,PGA478,Laptop
Intel Core2 Duo T5500,2,548,608,34,PGA478,Laptop
Intel Core2 Duo T5550,2,642,682,35,PGA478,Laptop
Intel Core2 Duo T5600,2,658,678,34,PGA478,Laptop
Intel Core2 Duo T5670,2,590,666,35,Socket P,Laptop
Intel Core2 Duo T5750,2,702,745,35,Socket P,Laptop
Intel Core2 Duo T5800,2,622,722,35,PGA478,Laptop
Intel Core2 Duo T5850,2,687,787,NA,Socket P,Laptop
Intel Core2 Duo T5870,2,698,740,35,PPGA478 Socket ,Laptop
Intel Core2 Duo T5900,2,652,768,NA,Socket P,Laptop
Intel Core2 Duo T6400,2,727,796,35,PGA478,Laptop
Intel Core2 Duo T6500,2,747,836,35,PGA478,Laptop
Intel Core2 Duo T6570,2,759,843,35,PGA478,Laptop
Intel Core2 Duo T6600,2,793,860,35,PGA478,Laptop
Intel Core2 Duo T6670,2,827,886,35,PGA478,Laptop
Intel Core2 Duo T7100,2,607,690,35,BGA479,Laptop
Intel Core2 Duo T7200,2,738,743,34,PBGA479 PPGA478,Laptop
Intel Core2 Duo T7250,2,709,771,35,BGA479,Laptop
Intel Core2 Duo T7300,2,682,763,35,BGA479,Laptop
Intel Core2 Duo T7400,2,761,757,34,BGA479,Laptop
Intel Core2 Duo T7500,2,828,863,35,BGA479,Laptop
Intel Core2 Duo T7600,2,824,874,34,PBGA479 PPGA478,Laptop
Intel Core2 Duo T7700,2,949,969,35,BGA479,Laptop
[Dual CPU] Intel Core2 Duo T7700,2,3497,1603,35,BGA479,Laptop
Intel Core2 Duo T7800,2,921,918,35,BGA479,Laptop
Intel Core2 Duo T8100,2,770,833,35,BGA479,Laptop
Intel Core2 Duo T8300,2,896,970,35,BGA479,Laptop
Intel Core2 Duo T9300,2,987,1025,35,BGA479,Laptop
Intel Core2 Duo T9400,2,1011,1047,35,BGA479,Laptop
Intel Core2 Duo T9500,2,1044,1072,35,BGA479,Laptop
Intel Core2 Duo T9550,2,972,1068,35,BGA479,Laptop
Intel Core2 Duo T9600,2,1075,1119,35,BGA479,Laptop
Intel Core2 Duo T9800,2,1216,1236,35,BGA479,Laptop
Intel Core2 Duo T9900,2,1189,1185,35,BGA479PGA478,Laptop
Intel Core2 Duo U7300,2,522,531,10,BGA956,Laptop
Intel Core2 Duo U7500,2,392,393,10,BGA479,Laptop
Intel Core2 Duo U7600,2,347,429,10,BGA479,Laptop
Intel Core2 Duo U7700,2,429,442,10,Unknown,Laptop
Intel Core2 Duo U9300,2,464,518,10,BGA956,Laptop
Intel Core2 Duo U9600,2,577,659,10,BGA956,Laptop
Intel Core2 Extreme X7800,2,1138,1077,44,PGA478,Laptop
Intel Core2 Extreme X7900,2,1104,1085,44,PGA478,Laptop
Intel Core2 Extreme X9000,2,1099,1098,44,PGA478,Laptop
Intel Core2 Extreme X9100,2,1171,1178,44,PGA478,Laptop
Intel Core2 Quad Q9000,4,1575,881,45,PGA478,Laptop
Intel Core2 Quad Q9100,4,1915,986,45,PGA478,Laptop
Intel Core2 Solo U2100,1,233,258,5.5,Unknown,Laptop
Intel Core2 Solo U3500,1,252,546,5.5,BGA956,Laptop
Intel N95,4,5369,1935,15,Unknown,Laptop Mobile/Embedded
Intel Pentium 2020M,2,1377,1269,35,FCPGA988,Laptop
Intel Pentium 2030M,2,1427,1235,35,FCPGA988,Laptop
Intel Pentium 2117U,2,1022,931,17,FCBGA1023,Laptop
Intel Pentium 2127U,2,1064,969,17,FCBGA1023,Laptop
Intel Pentium 2129Y,2,587,564,10,FCBGA1023,Laptop
Intel Pentium 3550M,2,1330,1184,37,FCPGA946,Laptop
Intel Pentium 3556U,2,1061,952,15,BGA1168,Laptop
Intel Pentium 3558U,2,1040,947,15,FCBGA1168,Laptop
Intel Pentium 3560M,2,1345,1221,37,FCPGA946,Laptop
Intel Pentium 3560Y,2,887,677,11.5,BGA1168,Laptop
Intel Pentium 3805U,2,1178,1108,15,FCBGA1168,Laptop
Intel Pentium 3825U,2,1399,1103,15,FCBGA1168,Laptop
Intel Pentium 4 Mobile,1,116,254,NA,Unknown,Laptop
Intel Pentium 4 Mobile,1,114,195,NA,Unknown,Laptop
Intel Pentium 4 Mobile,1,136,282,NA,Unknown,Laptop
Intel Pentium 4 Mobile,1,132,310,NA,Unknown,Laptop
Intel Pentium 4405U,2,2107,1196,15,FCBGA1356,Laptop
Intel Pentium 4405Y,2,1526,886,6,FCBGA1515,Laptop
Intel Pentium 4410Y,2,1384,755,6,FCBGA1515,Laptop
Intel Pentium 4415U,2,2236,1280,15,BGA1356,Laptop
Intel Pentium 4415Y,2,1583,864,6,FCBGA1515,Laptop
Intel Pentium 4417U,2,2242,1296,15,FCBGA1356,Laptop
Intel Pentium 4425Y,2,1689,953,6,FCBGA1515,Laptop
Intel Pentium 5405U,2,2255,1308,15,FCBGA1528,Laptop
Intel Pentium 6405U,2,2353,1370,15,FCBGA1528,Laptop
Intel Pentium 6805,2,4424,1834,15,FCBGA1526,Laptop
Intel Pentium 957,2,622,574,17,FCBGA1023,Laptop
Intel Pentium 967,2,643,616,17,FCBGA1023,Laptop
Intel Pentium 987,2,657,625,17,FCBGA1023,Laptop
Intel Pentium A1018,2,1210,1085,35,FCPGA988,Laptop
Intel Pentium A1020,4,1249,726,10,FCBGA1170,Laptop
Intel Pentium B940,2,861,854,35,PGA988,Laptop
Intel Pentium B950,2,995,937,35,PGA988,Laptop
Intel Pentium B960,2,986,971,35,PGA988,Laptop
Intel Pentium B970,2,1073,1018,35,PGA988,Laptop
Intel Pentium B980,2,1087,1048,35,FCPGA988,Laptop
Intel Pentium Dual T2390,2,745,712,35,PPGA478,Laptop
Intel Pentium G4400TE,2,2190,1481,35,FCLGA1151,Laptop
Intel Pentium Gold 7505,2,5199,2264,15,FCBGA1449,Laptop
Intel Pentium Gold 8505,5,9328,3243,15,BGA1700,Laptop Mobile/Embedded
Intel Pentium III Mobile,1,160,210,NA,Unknown,Laptop
Intel Pentium III Mobile,1,164,218,NA,Unknown,Laptop
Intel Pentium III Mobile,1,156,216,NA,Unknown,Laptop
Intel Pentium III Mobile,1,119,155,NA,Unknown,Laptop
Intel Pentium III Mobile,1,99,132,NA,Unknown,Laptop
Intel Pentium M,1,292,353,21,H-PBGA479 PPGA4,Laptop
Intel Pentium N3510,4,878,534,7.5,FCBGA1170,Laptop
Intel Pentium N3520,4,1146,663,7.5,FCBGA1170,Laptop
Intel Pentium N3530,4,1193,699,7.5,FCBGA1170,Laptop
Intel Pentium N3540,4,1201,707,7.5,FCBGA1170,Laptop
Intel Pentium N3700,4,1255,632,6,FCBGA1170,Laptop
Intel Pentium N3710,4,1390,687,6,FCBGA1170,Laptop
Intel Pentium N4200,4,2171,859,6,FCBGA1296,Laptop
Intel Pentium P6000,2,810,735,35,PGA988,Laptop
Intel Pentium P6100,2,882,832,35,PGA988,Laptop
Intel Pentium P6200,2,908,857,35,PGA988,Laptop
Intel Pentium P6300,2,834,772,35,PGA988,Laptop
Intel Pentium Silver N5000,4,2619,1136,6,FCBGA1090,Laptop
Intel Pentium Silver N5020,4,3404,1307,6,FCBGA1090,Laptop
Intel Pentium Silver N5030,4,2595,1241,6,FCBGA1090,Laptop
Intel Pentium Silver N6005,4,5367,1768,10,FCBGA1338,Laptop Mobile/Embedded
Intel Pentium SU2700,1,228,480,10,Unknown,Laptop
Intel Pentium SU4100,2,492,524,10,BGA956,Laptop
Intel Pentium T2060,2,330,491,31,PGA478,Laptop
Intel Pentium T2080,2,341,528,31,PGA478,Laptop
Intel Pentium T2130,2,382,583,31,PGA478,Laptop
Intel Pentium T2310,2,531,559,35,PPGA478,Laptop
Intel Pentium T2330,2,538,572,35,PPGA478,Laptop
Intel Pentium T2370,2,558,594,35,PPGA478,Laptop
Intel Pentium T2390,2,568,651,35,PPGA478,Laptop
Intel Pentium T3200,2,631,711,35,PPGA478,Laptop
Intel Pentium T3400,2,653,732,35,PPGA478,Laptop
Intel Pentium T4200,2,714,779,35,PGA478,Laptop
Intel Pentium T4300,2,759,813,35,PGA478,Laptop
Intel Pentium T4400,2,776,844,35,PGA478,Laptop
Intel Pentium T4500,2,824,904,35,PGA478,Laptop
Intel Pentium U5400,2,552,501,18,BGA1288,Laptop
Intel Pentium U5600,2,624,588,18,BGA1288,Laptop
Intel U300,5,8251,3012,15,FCBGA1744,Laptop
Intel Xeon D-1528,6,6823,1487,35,FCBGA1667,Laptop Server
Intel Xeon E-2176M,6,10880,2466,45,FCBGA1440,Laptop
Intel Xeon E-2186M,6,11409,2548,45,FCBGA1440,Laptop
Intel Xeon E-2276M,6,11810,2614,45,FCBGA1440,Laptop
Intel Xeon E-2286M,8,15088,2728,45,FCBGA1440,Laptop
Intel Xeon E3-1268L v5,4,6334,1721,35,FCLGA1151,Laptop Server
Intel Xeon E3-1505L v5,4,5083,1548,25,FCBGA1440,Laptop Server
Intel Xeon E3-1505L v6,4,6088,1848,25,FCBGA1440,Laptop Server
Intel Xeon E3-1535M v5,4,7504,2120,45,FCBGA1440,Laptop Server
Intel Xeon E3-1535M v6,4,7965,2294,35,FCBGA1440,Laptop Server
